label,PO No,PO Type,Invoice No,Tender No,1,2,3,4,5,6,7,8,Days Consumed,Days Remaining,Days Saved
,007857,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (refill from PO No; 7391),-105,80,-808,-689,,,,,1608,-1482,-1522
,007858,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (refill from PO No; 7528),-105,80,-808,-689,,,,,1608,-1482,-1522
,007859,FCA,,ICB/EPSA6/RDF-R/PH/10/21(Refill orderfrom 006833),-43,-5,-785,-723,,,,,1642,-1516,-1556
,007862,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (refill from PO No; 7510),-39,-6,-787,-704,,,,,1622,-1496,-1536
,007864,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (refill from PO No; 7370),-52,7,-787,-687,,,,,1605,-1479,-1519
,007866,FCA,,ICB/Framework/PFSA/RDF-R/PH/01/19 - (Refill from P,-31,-812,,,,,,,859,-733,-843
,007870,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (refill from PO No: 7540),-176,138,-791,,,,,,860,-734,-829
,007872,FOB,52N2425/GEP00168,ICB/EPSA6/RDF-R/PH/13/22 (refill order from PO No;,-36,12,-86,2,-695,,-694,,1610,-1484,-1497
,007874,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (refill order from PO No;,-36,5,-798,-731,,,,,1646,-1520,-1560
,007867,FOB,,ICB/EPSA6/RDF-R/PH/09/22(Refill Order from PO 0072,-23,-54,-751,-705,,,,,1619,-1493,-1533
,007868,FOB,, ICB/EPSA6/RDF-R/PH/09/22(Refill order from PO 007,-23,-819,,,,,,,858,-732,-842
,007869,FOB,, ICB/EPSA6/RDF-R/PH/09/22(Refill order from PO 007,-23,-819,,,,,,,858,-732,-842
,007865,FCA,,ICB/EPSA6/RDF-R 2015/MS/LS/14/22,-857,,,,,,,,858,-732,-857
,007875,FCA,, ICB/Framework/PFSA6/RDF-R/PH/01/19(Refill order f,-42,36,-822,-725,,,,,1639,-1513,-1553
,007877,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (refill order from PO No;,-35,-808,,,,,,,859,-733,-843
,007878,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (refill order from PO No;,-857,,,,,,,,858,-732,-857
,007881,FOB,,ICB/EPSA6/RDF-R/PH/13/22 (refill order from PO No;,-48,9,-790,-704,,,,,1619,-1493,-1533
,007882,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (split  from PO No;7557 ),-57,-1,-771,-704,,,,,1619,-1493,-1533
,007884,FCA,,ICB/EPSA6/RDF-R/PH/02/22(Refill order from PO 0070,-22,8,-813,,,,,,858,-732,-827
,007886,FOB,,ICB/Framework/PFSA6/RDF-R/PH/01/19(Refill order fr,-22,-29,-776,-657,,,,,1570,-1444,-1484
,007887,FOB,,ICB/EPSA6/RDF-R/PH/10/21(Refill order from PO# 006,-29,-29,-769,-704,,,,,1617,-1491,-1531
,007885,FCA,,"ICB/EPSA6/RDF-R/MS/LS/03/19 (Refill from PO,006653",-147,98,-777,,,,,,857,-731,-826
,007889,FOB,,ICB/EPSA6/RDF-R/PH/10/21(Refill order from 006766),-855,,,,,,,,856,-730,-855
,007890,FOB,,ICB/Framework/PFSA6/RDF-R/PH/01/19(Refill order fr,-32,-8,-787,-705,,,,,1618,-1492,-1532
,007891,FOB,,ICB/Framework/PFSA6/RDF-R/PH/01/19(Refill order fr,-40,-60,-726,-657,,,,,1569,-1443,-1483
,007892,FOB,,ICB/Framework/PFSA6/RDF-R/PH/01/19(Refill order fr,-22,4,-808,-737,,,,,1649,-1523,-1563
,007894,FOB,,ICB/Framwork/PFSA6/RDF-R/PH/01/19(Refill order fro,-39,12,-798,-731,,,,,1642,-1516,-1556
,007895,FOB,,ICB/Framework/PFSA6/RDF-R/PH/01/19(Refill order fr,-854,,,,,,,,855,-729,-854
,007696,FOB,,"ICB/EPSA6/RDF_Routine/MD/10/22(For ORHB, Split fro",-100,-7,-714,,,,,,852,-726,-821
,007898,FOB,, ICB/Framework/PFSA6/RDF-R/PH/01/19( refill order ,-849,,,,,,,,850,-724,-849
,007899,FOB,,ICB/EPSA6/RDF-R/PH/10/21( Refill order from PO# 00,-849,,-742,,,,,,1607,-1481,-1591
,007794,FOB,,ICB/EPSS6/MOH/GF-NFMIII/MRDT/24/23 ,-145,100,-772,,,,,,848,-722,-817
,007903,FOB,,ICB/EPSS6/MOH/GF-NFMIII/MRDT/LR/24/23(Refill PO 77,-145,100,-772,,,,,,848,-722,-817
,007900,FCA,,"ICB/PFSA6/RDF/FW/LR/04/2019(Refill, PO 007128)",-844,,,,,,,,845,-719,-844
,007901,FCA,,ICB/PFSA6/RDF/FW/LR/04/2019  (Refill PO 6651),-844,,,,,,,,845,-719,-844
,007904,FOB,, ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22 - split of,-844,,,,,,,,845,-719,-844
,007905,FOB,, ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22-split of P,-844,,,,,,,,845,-719,-844
,007908,FCA,, ICB/Framework/PFSA6/RDF-R/PH/01/19(refill order f,-841,,,,,,,,842,-716,-841
,007909,FOB,, ICB/EPSA6/RDF-R/PH/02/22(Refill order from PO 006,-34,24,-802,-699,,,,,1597,-1471,-1511
,007915,FCA,,ICB/EPSA6/RDF-R/PH/10/21( refill order from 006811,-15,-55,-738,,,,,,839,-713,-808
,007916,FOB,,ICB/Framework/PFSA6/RDF-R/PH/01/19(refill order fr,-24,-13,-771,-705,,,,,1599,-1473,-1513
,007914,FCA,,ICB/PSA6/RDF/Chem.&Reagents/LR/15/20(Refill PO 615,-112,-710,,,,,,,838,-712,-822
,007917,FCA,,ICB/Framwork/PFSA6/RDF-R/PH/01/19(refill order fro,-12,-60,-734,-687,,,,,1579,-1453,-1493
,007921,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (refill from PO NO:7546),-110,-710,,,,,,,836,-710,-820
,007924,FCA,,ICB/Framework/PFSA6/RDF-R/PH/01/19(Refill order fr,-38,12,-777,,,,,,834,-708,-803
,007913,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21( Split from PO:0077,-832,,,,,,,,833,-707,-832
,007927,FOB,,ICB/Framework/PFSA6/RDF-R/PH/01/19(refill order fr,-830,,,,,,,,831,-705,-830
,007704,FOB,,ICB/EPSA6/RDF_Routine/MD/10/22(For ORHB Qty 50 & f,-830,,,,,,,,831,-705,-830
,007929,FOB,,ICB/EPSA6/RDF-R/PH/10/21( Refill order from PO# 00,-14,-802,,,,,,,832,-706,-816
,007720,FOB,,ICB/EPSA6/RDF_Routine/MD/10/22(Split from PO: 0073,-830,,,,,,,,831,-705,-830
,007906,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21 (Split from 007196,-80,-735,,,,,,,831,-705,-815
,007907,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21 (Split from 007196,-830,,,,,,,,831,-705,-830
,007910,FOB,,ICB/EPSA6/RDF_Routine/MD/10/22( For Worabe Hospita,-105,0,-695,,,,,,831,-705,-800
,007912,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21( for ORHB Split fro,-80,69,-790,-643,,,,,1530,-1404,-1444
,007844,FCA,,ICB/Framework/PFSA6/RDF-R/PH/01/19(split from 0071,-26,-787,,,,,,,829,-703,-813
